BridgeFailureLikelihood,LRPName,Latitude,Longitude,NumberOfABridges,NumberOfBBridges,NumberOfCBridges,NumberOfDBridges,TotalEconomicVulnerability,TotalSocialVulnerability,TotalTraffic,TrafficEconomicVulnerability,TrafficSocialVulnerability,chainage,road
1,LRP029a,25.11087589,90.0488732,1,0,0,0,2282.5,7468.5,9751,2282.5,7468.5,29.027,R460
1,LRP015a,24.45107954,89.87953069,0,0,1,0,1860,7078,8938,1860,7078,15.947,R480
1,LRP033c,23.86479522,89.99998886,0,1,0,0,1650,10550.66667,12200.66667,1650,10550.66667,33.23,R504
0.999999635,LRPSa,23.85182138,89.87202851,1,0,0,0,1246.666211,3363.998771,4610.666667,1246.666667,3364,32.654,R506
0.999999635,LRP050b,24.23716915,89.90208755,1,0,0,0,934.9996583,2522.999078,3458,935,2523,50.742,R506
1,LRP039a,24.81649515,89.00500796,0,0,0,1,17420,54540,71960,17420,54540,39.16,R545
1,LRP080a,25.00123114,88.75206117,0,0,0,1,9164.999999,20201.5,29366.5,9165,20201.5,80.078,R545
1,LRP116d,25.10666359,88.99512931,0,0,1,0,3605,9322.999999,12928,3605,9323,117.628,R545
1,LRP119b,25.10350919,89.02236874,0,1,0,0,1640,5937.5,7577.5,1640,5937.5,120.509,R545
1,LRPSc,24.79183666,88.98522901,0,0,1,0,2800,14055.33333,16855.33333,2800,14055.33333,2.964,R546
1,LRP043b,25.08436874,88.68313893,1,0,0,0,5790,16784,22574,5790,16784,42.7,R547
1,LRP080a,24.93841131,88.48259017,1,0,0,0,5790,16784,22574,5790,16784,79.071,R547
1,LRp099a,24.83036715,88.35459569,1,0,0,0,5790,16784,22574,5790,16784,99.901,R547
1,LRP050a,24.42717922,88.95857419,1,0,0,0,1350,8001,9351,1350,8001,50.73,R548
1,LRPSa,24.96810378,88.90530253,0,0,1,0,750,4577.333333,5327.333333,750,4577.333333,19.169,R549
1,LRPSb,25.01933219,89.36133348,0,0,0,1,6232.5,11798,18030.5,6232.5,11798,32.902,R550
1,LRP034a,25.09298574,89.0494775,0,0,1,0,6232.5,11798,18030.5,6232.5,11798,34.308,R550
1,LRP019a,25.32853808,89.53156179,0,1,0,0,2410,22449,24859,2410,22449,18.983,R555
0.988321278,LRPSc,25.57723579,89.26436109,1,0,0,0,2176.777614,4723.187386,6981.5,2202.5,4779,26.442,R556
0.988321278,LRP033b,25.50459919,88.97317789,1,0,0,0,2176.777614,4723.187386,6981.5,2202.5,4779,34.018,R556
1,LRPSe,25.56564468,89.05654875,1,0,0,0,1125,3840.5,4965.5,1125,3840.5,11.961,R557
1,LRPSc,25.51968661,88.97453788,1,0,0,0,1262.5,2863,4125.5,1262.5,2863,4.828,R558
1,LRP014a,25.92114458,88.86352002,1,0,0,0,4015,11607.5,15622.5,4015,11607.5,13.708,R570
0.998632943,LRPSa,25.13850373,89.38170916,1,0,0,0,13174.46511,13613.36428,26092.5,13192.5,13632,45.064,R585
0.998632943,LRP075a,25.5113331,88.87705543,0,0,0,1,12855.73476,37610.51391,50535.33333,12873.33333,37662,75.439,R585
0.998632943,LRP106b,25.62421322,88.6432776,1,0,0,0,4938.239905,12050.50373,17012,4945,12067,105.729,R585
1,LRPSa,25.64247178,88.64927748,1,0,0,0,6687.5,17713.5,24401,6687.5,17713.5,1.57,R586
1,LRPSa,26.03039954,88.47007749,1,0,0,0,5425,29799,35224,5425,29799,5.632,R587
1,LRP048a,23.86867695,89.61401799,0,0,0,1,1510,5572.5,7082.5,1510,5572.5,47.366,R601
1,LRPSc,23.83289359,89.5302771,1,0,0,0,492.5,2454.5,2947,492.5,2454.5,0.829,R602
1,LRP025a,24.09655337,89.04554027,1,0,0,0,692.5,4731.5,5424,692.5,4731.5,24.742,R603
1,LRP038a,24.33773139,89.35363215,1,0,0,0,1222.5,5348,6570.5,1222.5,5348,37.135,R604
1,LRPSb,24.39569585,88.44131981,0,0,1,0,910,3873.5,4783.5,910,3873.5,12.305,R681
